source,target,weight
co2_per_capita,fossil_fuel_pct,0.4553982931394809
mean_wbgt,electricity_per_capita,-2.3751980712196928e-05
fossil_fuel_pct,electricity_per_capita,1.218303890554154e-05
co2_per_capita,electricity_per_capita,1.143454057343806
fossil_fuel_pct,co2_per_capita,1.5309790443285287e-05
electricity_per_capita,co2_per_capita,4.800748677275162e-06
fossil_fuel_pct,gdp_per_capita,1.152416073613859e-06
electricity_per_capita,gdp_per_capita,0.5615855187611789
co2_per_capita,gdp_per_capita,-0.3398879726339131
unemployment_rate,gdp_per_capita,-0.4677408854210128
health_expenditure_pct,gdp_per_capita,-5.0904818631585824e-05
agri_valueadded_pct,gdp_per_capita,-3.6944550421851886e-06
urbanization_pct,gdp_per_capita,-1.60776540447762e-05
gdp_per_capita,unemployment_rate,-1.2806209960030752e-05
agri_valueadded_pct,unemployment_rate,2.53285452556152e-06
gdp_per_capita,agri_valueadded_pct,-0.9927948173927544
gdp_per_capita,urbanization_pct,-0.7193035012020264
