country,iso3,year,mean_wbgt,renewable_energy_pct,fossil_fuel_pct,electricity_per_capita,co2_per_capita,gdp_per_capita,unemployment_rate,health_expenditure_pct,agri_valueadded_pct,urbanization_pct
Bangladesh,BGD,2000,22.917103,60.2,57.93,99.2535514546941,0.200482660343614,396.670730249751,3.27,1.80504513,22.7181480755923,23.59
Bhutan,BTN,2000,6.4828606,91.4,,,0.682233611398261,771.924911410619,1.66,4.13867903,21.6206028723141,25.418
India,IND,2000,19.745287,46.9,67.24,384.988418620172,0.941139242916713,442.750218937263,7.624,4.10568476,21.6110620465121,27.667
Nepal,NPL,2000,10.267117,88.3,11.97,57.3604987984238,0.139298830640235,223.830289183078,10.551,3.13292074,38.2438970402226,13.397
Pakistan,PAK,2000,17.338387,51.0,58.9,333.072641867358,0.722280672462726,642.338346499898,0.634,2.48079324,25.3871360412975,32.982
Sri Lanka,LKA,2000,24.09131,64.2,43.02,286.942647856581,0.594244954686801,846.460813304966,7.74,4.10818672,19.9273150418722,18.38
Bangladesh,BGD,2001,23.06275,55.9,61.28,109.490963870613,0.238508145231551,394.65641001891,3.61,1.77201855,21.8483405815259,24.096
Bhutan,BTN,2001,6.968336,90.2,,,0.711696578551852,812.238210772056,1.9,4.60037947,20.8835885609201,26.48
India,IND,2001,19.896109,47.1,67.12,384.816354358758,0.938682658523786,450.357900514128,7.653,4.33754253,21.6188848861438,27.918
Nepal,NPL,2001,10.590024,87.8,12.35,62.9340545709605,0.146508073918091,240.795114544664,10.504,3.81229901,35.247670013162,13.947
Pakistan,PAK,2001,17.837282,51.5,58.16,336.232153182879,0.715435117098944,609.939506905073,0.629,2.33959723,24.1449605032819,33.18
Sri Lanka,LKA,2001,24.240376,62.9,43.35,280.60706225732,0.580208671656166,803.544026627385,7.9,4.05662823,20.0666052033611,18.365
Bangladesh,BGD,2002,23.145174,54.4,61.25,117.271798889798,0.247169767890226,393.886422327628,3.966,1.93417108,20.5841344226366,24.756
Bhutan,BTN,2002,6.718349,89.7,,,0.754313278636279,895.799489930972,1.853,3.95161104,20.8199814492499,27.57
India,IND,2002,20.037554,45.8,67.95,401.997856451179,0.956523083565259,469.149928973927,7.753,4.31453371,19.5345432709546,28.244
Nepal,NPL,2002,10.397187,90.0,10.16,65.9323799879671,0.117817609796462,238.89140296106,10.632,3.93863344,36.1502950311573,14.24
Pakistan,PAK,2002,17.74308,51.4,57.62,341.012931981598,0.694198814405233,599.937345723927,0.635,2.42219901,22.7026275435674,33.38
Sri Lanka,LKA,2002,24.376938,62.1,44.58,291.733431782848,0.600679035060118,834.936014905338,8.76,4.03715754,14.2793225360883,18.349
Bangladesh,BGD,2003,23.127586,52.6,62.48,123.721051102441,0.255250836397506,426.74880754362,4.32,1.96152198,19.8127182977042,25.429
Bhutan,BTN,2003,6.7978415,89.7,,,0.752905531605252,1022.38240311018,1.8,3.83481455,19.7868423892498,28.688
India,IND,2003,19.982414,45.6,68.17,419.055104155047,0.968644599081604,544.143133545002,7.68,4.07877731,19.5919979784251,28.572
Nepal,NPL,2003,10.347691,89.4,10.61,68.9017351481142,0.131886485130967,246.429706587633,10.702,3.8560729,35.1058750871034,14.538
Pakistan,PAK,2003,17.484858,50.1,58.04,362.227934698535,0.702938338048544,672.44178669894,0.63,2.10399199,22.1519373367714,33.58
Sri Lanka,LKA,2003,24.48317,61.3,46.37,314.361997764481,0.644427058969589,946.382255128072,8.22,3.64646697,13.230514884212,18.334
Bangladesh,BGD,2004,23.149946,52.0,62.76,158.478288215597,0.265234027233158,455.614016909798,4.314,1.99854314,19.2669595662859,26.114
Bhutan,BTN,2004,6.686675,90.9,0.0,,0.739381194815416,1130.35934606796,2.49,4.26397753,19.3785149554207,29.835
India,IND,2004,19.983345,44.9,69.13,441.626538806721,1.02713496240707,624.258826510066,7.625,4.02679491,17.8146906487994,28.903
Nepal,NPL,2004,10.618514,90.3,9.7,72.7226435249788,0.112493319664141,279.587750044428,10.71,4.04629898,34.6763571054627,14.841
Pakistan,PAK,2004,18.00546,47.9,59.83,377.7366509814,0.767198720269024,771.902247348954,0.608,2.03666282,22.0018900085347,33.781
Sri Lanka,LKA,2004,24.399332,61.6,45.79,342.001945976138,0.660944896118776,1028.62068132555,8.38,4.03912592,12.5438041438828,18.319
Bangladesh,BGD,2005,23.496456,50.6,64.04,169.186794867009,0.278993060231867,480.08585075452,4.25,2.05873919,18.5710395455964,26.809
Bhutan,BTN,2005,6.8841696,88.7,0.0,,0.78339238364319,1299.94938578359,3.1,3.83308983,18.0339346830792,30.965
India,IND,2005,19.857565,44.2,69.4,458.878379944817,1.05357135746307,710.488080408949,7.552,3.85508275,17.6202069548839,29.235
Nepal,NPL,2005,10.347347,89.5,10.64,75.4101433788564,0.124506555779294,309.024168339372,10.617,3.95095325,33.824896676688,15.149
Pakistan,PAK,2005,17.39805,48.0,59.94,406.199460172892,0.763118545814938,827.619861189926,0.585,2.37323904,21.5745096992331,33.982
Sri Lanka,LKA,2005,24.558376,60.1,45.29,386.812292756163,0.713678573032634,1207.21994764165,7.67,3.87908745,11.8194768226447,18.303
Bangladesh,BGD,2006,23.521887,48.6,65.94,189.596089771556,0.296997445589191,490.388026533289,3.591,2.10646582,18.0340165108542,27.517
Bhutan,BTN,2006,7.1633873,91.6,0.0,,0.811718562490403,1405.6071618158,3.13,4.08523893,17.3412992346729,31.712
India,IND,2006,20.266434,43.2,69.99,500.475373037023,1.10701549074687,801.668353659022,7.552,3.66901541,16.8094420944381,29.569
Nepal,NPL,2006,10.914353,91.2,8.83,82.249766378667,0.102098874759203,340.431796437968,10.639,3.54402447,32.3664850386189,15.462
Pakistan,PAK,2006,18.347773,47.0,60.79,425.59469696274,0.808545330660399,900.873564984808,0.582,2.73132491,20.4183460540925,34.184
Sri Lanka,LKA,2006,24.45357,62.2,43.44,390.076635146568,0.648203301318945,1389.50625583936,6.5,3.85019565,11.3362802346632,18.288
Bangladesh,BGD,2007,23.175037,47.2,67.11,198.744127936079,0.312232079407807,537.955492792911,4.017,2.17268491,17.8065367823955,28.237
Bhutan,BTN,2007,7.140604,92.0,0.0,,0.823262962302602,1850.41570433398,3.7,3.83774948,14.9062410213406,32.469
India,IND,2007,20.142595,41.5,70.96,533.124870917342,1.1874471099305,1021.88707706826,7.561,3.58103991,16.7501197597569,29.906
Nepal,NPL,2007,10.757881,91.3,8.61,86.3057166487759,0.104205193782464,385.449767660642,10.683,3.67297482,31.1644113230204,15.781
Pakistan,PAK,2007,18.048681,44.9,62.29,417.999075532478,0.877730305454947,998.090114197524,0.398,2.62370729,19.9379514329097,34.387
Sri Lanka,LKA,2007,24.360113,60.2,45.38,406.977269050769,0.689148175592636,1578.63451125392,5.97,3.82258177,11.6831643328505,18.272
Bangladesh,BGD,2008,23.349539,45.2,68.29,200.690066619094,0.343315957053316,613.06204104124,4.492,2.11878848,17.5956955421992,28.968
Bhutan,BTN,2008,6.996883,87.8,,,0.820425700552633,1919.59774896395,3.842,3.14842224,14.4876928759977,33.236
India,IND,2008,19.954363,39.4,72.44,555.102915633182,1.24478231356937,992.519584923828,7.656,3.58856082,16.7909423598037,30.246
Nepal,NPL,2008,10.588268,90.5,9.88,82.4748776743063,0.114301436489324,464.817391891529,10.613,3.81756353,30.3057163664183,16.105
Pakistan,PAK,2008,17.73314,46.6,61.46,382.307858084803,0.82505768773704,1067.04324565284,0.423,2.56806731,20.351365282755,34.59
Sri Lanka,LKA,2008,24.3796,61.6,44.27,413.051716828302,0.644866752647608,1973.58476901287,5.22,3.85482955,13.379200767591,18.257
Bangladesh,BGD,2009,23.646547,43.1,69.88,218.83202265439,0.365306179179761,679.211477428056,5.0,2.18321705,17.1046290519632,29.709
Bhutan,BTN,2009,7.4859986,87.8,,,1.13561041401292,1918.39599211093,3.96,3.29665017,14.005454995288,34.01
